iteracion,valor_coste
0,44056594.92039395
1,40213281.610305615
2,40213281.610305615
3,40213281.610305615
4,40213281.610305615
5,40213281.610305615
6,40213281.610305615
7,39875603.96917023
8,39875603.96917023
9,37647977.16717545
10,37647977.16717545
11,37647977.16717545
12,37647977.16717545
13,37647977.16717545
14,37647977.16717545
15,37647977.16717545
16,37647977.16717545
17,37647977.16717545
18,37647977.16717545
19,37647977.16717545
20,35465153.46094684
21,35465153.46094684
22,35465153.46094684
23,35465153.46094684
24,35465153.46094684
25,35465153.46094684
26,35465153.46094684
27,35465153.46094684
28,35465153.46094684
29,35465153.46094684
30,35465153.46094684
31,35465153.46094684
32,35465153.46094684
33,35465153.46094684
34,35465153.46094684
35,35465153.46094684
36,35465153.46094684
37,35465153.46094684
38,35465153.46094684
39,35465153.46094684
40,35465153.46094684
41,35262926.543385185
42,35262926.543385185
43,35262926.543385185
44,35262926.543385185
45,35262926.543385185
46,35262926.543385185
47,35262926.543385185
48,35262926.543385185
49,35262926.543385185
50,34994119.99321116
51,34179698.4137109
52,34179698.4137109
53,34179698.4137109
54,34179698.4137109
55,34179698.4137109
56,34179698.4137109
57,34179698.4137109
58,34179698.4137109
59,32609135.05570467
60,32609135.05570467
61,32609135.05570467
62,32609135.05570467
63,32609135.05570467
64,32609135.05570467
65,32609135.05570467
66,32609135.05570467
67,32609135.05570467
68,32609135.05570467
69,31460125.284450527
70,31460125.284450527
71,31460125.284450527
72,31460125.284450527
73,31436892.505517848
74,31436892.505517848
75,31436892.505517848
76,31436892.505517848
77,31436892.505517848
78,31436892.505517848
79,31436892.505517848
80,31436892.505517848
81,31436892.505517848
82,31436892.505517848
83,31436892.505517848
84,31436892.505517848
85,31436892.505517848
86,31436892.505517848
87,31436892.505517848
88,31436892.505517848
89,31436892.505517848
90,31436892.505517848
91,31436892.505517848
92,31436892.505517848
93,31436892.505517848
94,31436892.505517848
95,31436892.505517848
96,31436892.505517848
97,31436892.505517848
98,31436892.505517848
99,31436892.505517848
100,31436892.505517848
101,31436892.505517848
102,31436892.505517848
103,31436892.505517848
104,31436892.505517848
105,31436892.505517848
106,31436892.505517848
107,31436892.505517848
108,31436892.505517848
109,31436892.505517848
110,31436892.505517848
111,31436892.505517848
112,31436892.505517848
113,31436892.505517848
114,31436892.505517848
115,29695964.532297987
116,29695964.532297984
117,29695964.532297984
118,29695964.532297984
119,29695964.532297984
120,29695964.532297984
121,29695964.532297984
122,29695964.532297984
123,29695964.532297984
124,29695964.532297984
125,29695964.532297984
126,29695964.532297984
127,29695964.532297984
128,29695964.532297984
129,29695964.532297984
130,29695964.532297984
131,29695964.532297984
132,29695964.532297984
133,29695964.532297984
134,29695964.532297984
135,29695964.532297984
136,29695964.532297984
137,29695964.532297984
138,29695964.532297984
139,29695964.532297984
140,29695964.532297984
141,29695964.532297984
142,29695964.532297984
143,29695964.532297984
144,29695964.532297984
145,29695964.532297984
146,29695964.532297984
147,29695964.532297984
148,29695964.532297984
149,29695964.532297984
150,29695964.532297984
151,29695964.532297984
152,29695964.532297965
153,29695964.532297965
154,29695964.532297965
155,29695964.532297965
156,29695964.532297965
157,29695964.532297965
158,29695964.532297965
159,29695964.532297965
160,29695964.532297965
161,29695964.532297965
162,29695964.532297965
163,29695964.532297965
164,29695964.532297965
165,29695964.532297965
166,29695964.532297965
167,29695964.532297965
168,29695964.532297965
169,29695964.532297965
170,29695964.532297965
171,29695964.532297965
172,29695964.532297965
173,29695964.532297965
174,29695964.532297965
175,29695964.532297965
176,29695964.532297965
177,29695964.532297965
178,29695964.532297965
179,29695964.532297965
180,29695964.532297965
181,29695964.532297965
182,29695964.532297965
183,29695964.532297965
184,29695964.532297965
185,29695964.532297965
186,29695964.532297965
187,29695964.532297965
188,29598573.304306224
189,29598573.304306224
190,29598573.304306224
191,29598573.304306224
192,29598573.304306224
193,29598573.304306224
194,29598573.304306224
195,29598573.304306224
196,29088347.94193581
197,29088347.94193581
198,29088347.94193581
199,29088347.94193581
200,29088347.94193581
201,29088347.94193581
202,29088347.94193581
203,29088347.94193581
204,29088347.94193581
205,29088347.94193581
206,29088347.94193581
207,29088347.94193581
208,29088347.94193581
209,29088347.94193581
210,29088347.94193581
211,29088347.94193581
212,29088347.94193581
213,29088347.94193581
214,29088347.94193581
215,29088347.94193581
216,29088347.94193581
217,29088347.94193581
218,29088347.94193581
219,29088347.94193581
220,29088347.94193581
221,29088347.94193581
222,29088347.94193581
223,29088347.94193581
224,29088347.94193581
225,29088347.94193581
226,29088347.94193581
227,29088347.94193581
228,29088347.94193581
229,29088347.94193581
230,29088347.94193581
231,29088347.94193581
232,29088347.94193581
233,29088347.94193581
234,29088347.94193581
235,29088347.94193581
236,29088347.94193581
237,29088347.94193581
238,29088347.94193581
