iteracion,valor_coste
0,18755279.069599565
1,18755279.06959956
2,18755279.069599587
3,18755279.06959954
4,18755279.06959956
5,18755279.069599565
6,18755279.069599565
7,18755279.069599565
8,18755279.069599576
9,18755279.069599576
10,18755279.069599573
11,18755279.07833917
12,18755279.015384194
13,18755279.055992596
14,18755278.989428636
15,18755279.071393322
16,18755279.055626255
17,18755279.04597865
18,18755279.065855753
19,18755279.035860084
20,18755279.078412045
21,18755279.04910549
22,18755279.049650874
23,18755278.99647521
24,18755279.028858203
25,18755279.006961912
26,18755279.046264224
27,18755279.046916362
28,18755279.113872766
29,18755279.046394628
30,18755279.046546683
31,18755279.03112488
32,18755279.069375373
33,18755279.077756844
34,18755279.05858071
35,18755279.06812658
36,18755279.032160908
37,18755279.081819765
38,18755279.088592093
39,18755279.107757125
40,18755279.065472506
41,18755279.069993317
42,18755279.09633381
43,18755278.98909471
44,18755279.12519793
45,18755279.059923906
46,18755279.1103361
47,18755279.074280296
48,18755279.08478425
49,18755279.029727288
50,18755279.030383516
51,18755279.10782123
52,18755279.073057227
53,18755279.043741155
54,18755279.029919468
55,18755279.081977017
56,18755279.055409923
57,18755279.11992081
58,18755279.073028766
59,18755279.09264084
60,18755279.078336954
61,18755279.080492903
62,18755279.1023338
63,18755279.044808045
64,18755279.064585153
65,18755279.07889259
66,18755279.074881528
67,18755279.056309704
68,18755278.997656193
69,18755279.097521868
70,18755279.018883366
71,18755279.09665762
72,18755279.036470424
73,18755279.03569052
74,18755279.012862492
75,18755279.12045409
76,18755279.03099875
77,18755279.069149233
78,18755279.11470989
79,18755279.069011837
80,18755279.06837597
81,18755279.054833293
82,18755279.064056672
83,18755279.074377753
84,18755278.98316478
85,18755279.130287558
86,18755279.116655324
87,18755279.027569972
88,18755279.033193212
89,18755279.091405973
90,18755279.083207097
91,18755279.0724455
92,18755279.031802952
93,18755279.10170511
94,18755279.080592755
95,18755279.068815112
96,18755279.083094083
97,18755279.045726825
98,18755279.110632677
99,18755279.050668012
100,18755279.07038082
101,18755279.05005138
102,18755279.066822123
103,18755279.071213067
104,18755279.00876728
105,18755279.024943147
106,18755279.062929332
107,18755279.04077106
108,18755279.023358326
109,18755279.082500227
110,18755279.06934741
111,18755279.09783425
112,18755279.058513205
113,18755279.110021837
114,18755279.10502836
115,18755279.085622635
116,18755279.002362758
117,18755279.084539395
118,18755279.099554706
119,18755279.01655606
120,18755279.05285599
121,18755279.009494774
122,18755279.035845127
123,18755279.048418954
124,18755279.046517886
125,18755279.064820297
126,18755279.02454579
127,18755279.045522913
128,18755279.113012463
129,18755279.061016876
130,18755279.023855526
131,18755279.079663146
132,18755279.12065381
133,18755279.04564787
134,18755279.08652058
135,18755279.08686746
136,18755279.105709206
137,18755279.057218663
138,18755279.072751217
139,18755279.030898478
140,18755279.02953802
141,18755279.066876695
142,18755279.01105059
143,18755278.988869857
144,18755279.09886641
145,18755279.056553364
146,18755279.04863271
147,18755279.135684446
148,18755279.037529044
149,18755279.064284757
150,18755279.136287242
151,18755279.0375662
152,18755279.094797738
153,18755279.066404287
154,18755279.087728806
155,18755279.033250507
156,18755279.119919613
157,18755279.069342773
158,18755279.13898215
159,18755279.065771706
160,18755279.116551433
161,18755279.152855754
162,18755279.029228784
163,18755279.168791328
164,18755279.086301673
165,18755279.035844944
166,18755279.106172998
167,18755279.092647668
168,18755279.0938103
169,18755279.09208535
170,18755279.11988245
171,18755279.05976621
172,18755279.08994644
173,18755279.176079948
174,18755279.11737345
175,18755279.040255036
176,18755279.011905596
177,18755279.085429892
178,18755279.058199115
179,18755279.039219562
180,18755279.10757285
181,18755279.052248254
182,18755279.063837256
183,18755279.056799106
184,18755279.139853828
185,18755279.09095011
186,18755279.060085956
187,18755278.98971904
188,18755279.029828314
189,18755279.05449573
190,18755279.02455777
191,18755279.01478591
192,18755279.035350837
193,18755279.145178072
194,18755279.063194335
195,18755279.138945624
196,18755279.109939452
197,18755279.06012789
198,18755279.09562292
199,18755279.07325567
200,18755279.076711625
201,18755278.997237124
202,18755279.010074493
203,18755279.08979357
204,18755279.083694562
205,18755279.07057178
206,18755279.156359084
207,18755279.092893768
208,18755279.019603953
209,18755279.091167234
210,18755278.988201972
211,18755279.061440513
212,18755279.106185228
213,18755279.136536337
214,18755279.03058796
215,18755279.093217935
216,18755279.110614542
217,18755279.078642882
218,18755279.084036365
219,18755279.050750807
220,18755279.093176343
221,18755279.083874356
222,18755279.15392344
223,18755279.079697546
224,18755279.095326904
225,18755279.098721225
226,18755279.023222756
227,18755279.060546916
228,18755279.06849994
229,18755279.103044394
230,18755279.05685979
231,18755279.16808524
232,18755279.02865014
233,18755279.05497604
234,18755279.084963653
235,18755279.03515761
236,18755279.119225662
237,18755279.06141193
238,18755279.094765496
239,18755279.050850842
240,18755279.084817275
241,18755279.060643528
242,18755279.052064635
243,18755279.04837759
