🎯 Mejor coste total (VRP)
Coste mínimo: 127.26769015220313

Combinaciones alpha/beta:
  alpha=1.0, beta=0.2
  alpha=1.0, beta=0.4
  alpha=1.0, beta=0.6000000000000001
  alpha=1.0, beta=0.8
  alpha=1.0, beta=1.0
  alpha=2.0, beta=0.2
  alpha=2.0, beta=0.4
  alpha=2.0, beta=0.6000000000000001
  alpha=2.0, beta=0.8
  alpha=2.0, beta=1.0
  alpha=3.0, beta=0.2
  alpha=3.0, beta=0.4
  alpha=3.0, beta=0.6000000000000001
  alpha=3.0, beta=0.8
  alpha=3.0, beta=1.0
  alpha=4.0, beta=0.2
  alpha=4.0, beta=0.4
  alpha=4.0, beta=0.6000000000000001
  alpha=4.0, beta=0.8
  alpha=4.0, beta=1.0
  alpha=5.0, beta=0.2
  alpha=5.0, beta=0.4
  alpha=5.0, beta=0.6000000000000001
  alpha=5.0, beta=0.8
  alpha=5.0, beta=1.0
  alpha=6.0, beta=0.2
  alpha=6.0, beta=0.4
  alpha=6.0, beta=0.6000000000000001
  alpha=6.0, beta=0.8
  alpha=6.0, beta=1.0
  alpha=7.0, beta=0.2
  alpha=7.0, beta=0.4
  alpha=7.0, beta=0.6000000000000001
  alpha=7.0, beta=0.8
  alpha=7.0, beta=1.0
  alpha=8.0, beta=0.2
  alpha=8.0, beta=0.4
  alpha=8.0, beta=0.6000000000000001
  alpha=8.0, beta=0.8
  alpha=8.0, beta=1.0
  alpha=9.0, beta=0.2
  alpha=9.0, beta=0.4
  alpha=9.0, beta=0.6000000000000001
  alpha=9.0, beta=0.8
  alpha=9.0, beta=1.0
  alpha=10.0, beta=0.2
  alpha=10.0, beta=0.4
  alpha=10.0, beta=0.6000000000000001
  alpha=10.0, beta=0.8
  alpha=10.0, beta=1.0
  alpha=11.0, beta=0.2
  alpha=11.0, beta=0.4
  alpha=11.0, beta=0.6000000000000001
  alpha=11.0, beta=0.8
  alpha=11.0, beta=1.0
  alpha=12.0, beta=0.2
  alpha=12.0, beta=0.4
  alpha=12.0, beta=0.6000000000000001
  alpha=12.0, beta=0.8
  alpha=12.0, beta=1.0
  alpha=13.0, beta=0.2
  alpha=13.0, beta=0.4
  alpha=13.0, beta=0.6000000000000001
  alpha=13.0, beta=0.8
  alpha=13.0, beta=1.0
  alpha=14.0, beta=0.2
  alpha=14.0, beta=0.4
  alpha=14.0, beta=0.6000000000000001
  alpha=14.0, beta=0.8
  alpha=14.0, beta=1.0
  alpha=15.0, beta=0.2
  alpha=15.0, beta=0.4
  alpha=15.0, beta=0.6000000000000001
  alpha=15.0, beta=0.8
  alpha=15.0, beta=1.0
  alpha=16.0, beta=0.2
  alpha=16.0, beta=0.4
  alpha=16.0, beta=0.6000000000000001
  alpha=16.0, beta=0.8
  alpha=16.0, beta=1.0
  alpha=17.0, beta=0.2
  alpha=17.0, beta=0.4
  alpha=17.0, beta=0.6000000000000001
  alpha=17.0, beta=0.8
  alpha=17.0, beta=1.0
  alpha=18.0, beta=0.2
  alpha=18.0, beta=0.4
  alpha=18.0, beta=0.6000000000000001
  alpha=18.0, beta=0.8
  alpha=18.0, beta=1.0
  alpha=19.0, beta=0.2
  alpha=19.0, beta=0.4
  alpha=19.0, beta=0.6000000000000001
  alpha=19.0, beta=0.8
  alpha=19.0, beta=1.0
  alpha=20.0, beta=0.2
  alpha=20.0, beta=0.4
  alpha=20.0, beta=0.6000000000000001
  alpha=20.0, beta=0.8
  alpha=20.0, beta=1.0

alpha únicos: 20
beta únicos: 5
timestamp: 2026-02-11T13:09:18
