"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","274.70231022708015","55.38143691020302","4.7219057784834355","-0.31197865973435573","0.02978515625","0.02880859375","0.03076171875","1300","0.0001906831280410154","0","0.0001906831280410154","0.0001906831280410154","","","true"
"1","359.6793522150383","266.6994579412773","4.815073597111181","-0.3097440319777085","0.025634765625","0.02294921875","0.0283203125","1300","0.00013946988902974433","0","0.00013946988902974433","0.00013946988902974433","1_0:0.004183798804036992","1_0:660","true"
"2","161.9219514497604","301.0604524660371","4.609658268624267","-0.3090875180776862","0.046142578125","0.06787109375","0.0244140625","1300","0.00022707860473333922","0","0.00022707860473333922","0.00022707860473333922","2_1:0.003945107240421908","2_1:660","true"
"3","279.69879500859537","327.93795073361457","4.875547930498282","-0.30968652168552707","0.028076171875","0.0126953125","0.04345703125","1300","0.0003273383702686038","0","0.0003273383702686038","0.0003273383702686038","3_2:0.005552389372064592","3_2:660","true"
"4","257.72661027515494","244.58075802059778","4.818204965860423","-0.3103713081153928","0.02001953125","0.0146484375","0.025390625","1300","0.0002369130465304253","0","0.0002369130465304253","0.0002369130465304253","4_15:0.0060241420474340945;4_3:0.008937823555606739;4_5:0.003715706688892012","4_15:660;4_3:660;4_5:660","true"
"5","239.1480736195066","258.06321878796007","4.734133722792004","-0.3114518235315779","0.0078125","0.01123046875","0.00439453125","1300","0.0002644919616771935","0","0.0002644919616771935","0.0002644919616771935","","","true"
"6","316.9011290998717","94.0363786000049","4.876257972164618","-0.30918835047116894","0.010986328125","0.0087890625","0.01318359375","1300","0.00017595992234912546","0","0.00017595992234912546","0.00017595992234912546","6_5:0.005748271646357828;6_7:0.003976915558330685","6_5:660;6_7:660","true"
"7","232.49015074192084","271.33641736979246","4.967501887774857","-0.30745739300983294","0.0087890625","0.00927734375","0.00830078125","1300","0.00033195181281478844","0","0.00033195181281478844","0.00033195181281478844","7_8:0.004037487525009015","7_8:660","true"
"8","398.59785186846494","244.24203783603636","4.902440457239858","-0.30837827664687645","0.0107421875","0.0078125","0.013671875","1300","0.0001442123102146256","0","0.0001442123102146256","0.0001442123102146256","8_9:0.007025507697460881","8_9:660","true"
"9","352.85288918471485","88.73985290113794","4.987232917175966","-0.3080310587566364","0.023193359375","0.0185546875","0.02783203125","1300","0.00027319948380981037","0","0.00027319948380981037","0.00027319948380981037","","","true"
"10","307.91652670915886","212.49909439232408","4.83152587678292","-0.3097434424405673","0.01318359375","0.0087890625","0.017578125","1300","0.00009367890667718744","0","0.00009367890667718744","0.00009367890667718744","10_9:0.005677750129090747;10_11:0.0072958924200645925","10_9:660;10_11:660","true"
