"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","374.4180821096646","202.19164335996368","4.897564143208395","-0.30830037970047425","0.012451171875","0.013671875","0.01123046875","1500","0.00018066177848016738","0","0.00018066177848016738","0.00018066177848016738","0_1:0.007096185920229869","0_1:660","true"
"1","487.4802714909657","62.511919260819845","4.838443664624288","","0.01220703125","0.01220703125","0.01220703125","1500","0.00009061514943052026","0","0.00009061514943052026","0.00009061514943052026","1_2:0.012120154045674097","1_2:660","true"
"2","241.77650804660482","194.28157422174897","4.654274772841678","-0.3118878799709304","0.02294921875","0.03466796875","0.01123046875","1500","0.0007107905308060889","0","0.0007107905308060889","0.0007107905308060889","2_3:0.00791777917045583","2_3:660","true"
"3","304.2649430586314","329.0896259128344","4.856016630270058","-0.30925864887979854","0.00830078125","0.00830078125","0.00830078125","1500","0.0001850006133575718","0","0.0001850006133575718","0.0001850006133575718","","","true"
"4","324.41855735724477","277.7316230211214","4.909437941935998","-0.30814930861447104","0.013671875","0.01123046875","0.01611328125","1500","0.00013593377542238136","0","0.00013593377542238136","0.00013593377542238136","4_15:0.003475927658783823;4_3:0.004540744999667806","4_15:660;4_3:660","true"
"5","227.02429945744225","231.16008945010543","4.818060945985691","-0.30958565804365407","0.01123046875","0.0126953125","0.009765625","1500","0.000320466518360434","0","0.000320466518360434","0.000320466518360434","5_4:0.004849979565155399;5_6:0.004687004908349807","5_4:660;5_6:660","true"
"6","344.6315841464813","212.79166365131024","4.7576125601821","-0.30931899513970895","0.025146484375","0.02099609375","0.029296875","1500","0.00013285073430701513","0","0.00013285073430701513","0.00013285073430701513","6_7:0.00397376880588915","6_7:660","true"
"7","425.8426627792696","173.7248184602514","4.530949675353083","-0.3153085977514802","0.013671875","0.0166015625","0.0107421875","1500","0.00013891327275316137","0","0.00013891327275316137","0.00013891327275316137","","","true"
"8","397.78307285245194","192.5560570979972","4.769946797879444","-0.3107240604358965","0.02197265625","0.017578125","0.0263671875","1500","0.00013627957616966087","0","0.00013627957616966087","0.00013627957616966087","8_9:0.0034702032535103566;8_7:0.004557191826151857","8_9:660;8_7:660","true"
"9","605.5352834924322","302.5191106635481","4.863291162233198","-0.3088384973978332","0.006103515625","0.00439453125","0.0078125","1500","0.00015964299717673887","0","0.00015964299717673887","0.00015964299717673887","","","true"
"10","252.648890165071","289.9474065786558","4.775496951409778","-0.3102561917352623","0.00537109375","0.00537109375","0.00537109375","1500","0.00018796527571877835","0","0.00018796527571877835","0.00018796527571877835","10_9:0.01235194946573731","10_9:660","true"
