"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","210.16487135697025","71.10286112084403","0.004638671875","0.00830078125","0.0009765625","2584","0.00039162803342084583","0.00039162803342084583","0","0.00039162803342084583","0.00039162803342084583","0_1:0.001663294672013843","0_1:0.001356084433895538","0_1:68","true"
"1","209.6202206329104","209.8218859034567","0.003662109375","0.00634765625","0.0009765625","2584","0.0002138379848210137","0.0002138379848210137","0","0.0002138379848210137","0.0002138379848210137","1_2:0.001171323106668315;1_0:0.001663294672013843","1_2:0.0017429664375702147;1_0:0.001356084433895538","1_2:68;1_0:68","true"
"2","350.4477885726896","424.8669757723849","0.003662109375","0.00634765625","0.0009765625","2584","0.0001423306576959966","0.0001423306576959966","0","0.0001423306576959966","0.0001423306576959966","2_1:0.001171323106668315;2_3:0.006976078725270091","2_1:0.0017429664375702147;2_3:0.0035369546731677526","2_1:68;2_3:68","true"
"3","329.6378641700757","285.22274336138673","0.00634765625","0.0078125","0.0048828125","2584","0.00037478404744346286","0.00037478404744346286","0","0.00037478404744346286","0.00037478404744346286","3_16:0.011679340776311692;3_2:0.006976078725270091;3_4:0.014720641685886104","3_16:0.018885518325780726;3_2:0.0035369546731677526;3_4:0.015987043968415243","3_16:68;3_2:68;3_4:80","true"
"4","153.43220208489822","67.12881131143054","0.037841796875","0.07470703125","0.0009765625","2584","0.004613243450386681","0.004613243450386681","0","0.004613243450386681","0.004613243450386681","4_3:0.014720641685886104;4_5:0.00973456645381654","4_3:0.015987043968415243;4_5:0.006032456586587048","4_3:80;4_5:68","true"
"5","156.56791554379814","63.603519228903764","0.006103515625","0.00732421875","0.0048828125","2584","0.00023998498619878854","0.00023998498619878854","0","0.00023998498619878854","0.00023998498619878854","5_6:0.0017226239773751595;5_4:0.00973456645381654","5_6:0.0030657640788129548;5_4:0.006032456586587048","5_6:68;5_4:68","true"
"6","268.9957854832642","134.26322944889927","0.00439453125","0.00634765625","0.00244140625","2584","0.00022406870010342075","0.00022406870010342075","0","0.00022406870010342075","0.00022406870010342075","6_5:0.0017226239773751595;6_7:0.0016287066221631896","6_5:0.0030657640788129548;6_7:0.0023439040804605904","6_5:68;6_7:68","true"
"7","311.35979857943374","70.04717771736297","0.01904296875","0.0234375","0.0146484375","2584","0.0003351200037127845","0.0003351200037127845","0","0.0003351200037127845","0.0003351200037127845","7_17:0.001974021946786614;7_6:0.0016287066221631896;7_8:0.0027338259162418","7_17:0.004136824799800792;7_6:0.0023439040804605904;7_8:0.0033045874632801897","7_17:68;7_6:68;7_8:80","true"
"8","243.64547713584258","59.53255344808697","0.00341796875","0.0068359375","0","2584","0.0003718846847356817","0.0003718846847356817","0","0.0003718846847356817","0.0003718846847356817","8_9:0.0025581321848816285;8_7:0.0027338259162418","8_9:0.005900894077457031;8_7:0.0033045874632801897","8_9:68;8_7:80","true"
"9","229.61101800144797","123.56090018362671","0.02734375","0.02099609375","0.03369140625","2584","0.00023682253818181983","0.00023682253818181983","0","0.00023682253818181983","0.00023682253818181983","9_8:0.0025581321848816285;9_10:0.0017002622357037145","9_8:0.005900894077457031;9_10:0.005224752286674961","9_8:68;9_10:68","true"
"10","240.991310318525","99.74890095708625","0.00537109375","0.0087890625","0.001953125","2584","0.0002529253418028122","0.0002529253418028122","0","0.0002529253418028122","0.0002529253418028122","10_9:0.0017002622357037145;10_11:0.0018580199288185106","10_9:0.005224752286674961;10_11:0.0020137028947202484","10_9:68;10_11:68","true"
"11","324.0362048509194","90.21644504640267","0.006591796875","0.01171875","0.00146484375","2584","0.0005108399896124877","0.0005108399896124877","0","0.0005108399896124877","0.0005108399896124877","11_18:0.002241816400026825;11_10:0.0018580199288185106;11_12:0.0013696227097202973","11_18:0.00407896085624021;11_10:0.0020137028947202484;11_12:0.004313539482632578","11_18:68;11_10:68;11_12:68","true"
"12","286.39946730964084","173.48332063373863","0.003662109375","0.005859375","0.00146484375","2584","0.00023633507655381765","0.00023633507655381765","0","0.00023633507655381765","0.00023633507655381765","12_13:0.001801840735242699;12_11:0.0013696227097202973","12_13:0.00162904126338978;12_11:0.004313539482632578","12_13:80;12_11:68","true"
"13","239.0956710909544","277.92634777975746","0.048828125","0.03173828125","0.06591796875","2584","0.0005817093168779211","0.0005817093168779211","0","0.0005817093168779211","0.0005817093168779211","13_12:0.001801840735242699;13_14:0.0013894973741579997","13_12:0.00162904126338978;13_14:0.001001487708161719","13_12:80;13_14:80","true"
