"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","483.37041676201045","353.69540474376316","4.635659902192823","-0.3132760394092362","0.007568359375","0.00439453125","0.0107421875","1216","0.00010483367033356274","0","0.00010483367033356274","0.00010483367033356274","","","true"
"1","306.35738386608125","394.3340981113553","4.736289915805671","-0.3129180725120383","0.095947265625","0.11669921875","0.0751953125","1216","0.0002826184330222589","0","0.0002826184330222589","0.0002826184330222589","1_0:0.00655266467650556;1_2:0.005805210023197893","1_0:533.3333333333333;1_2:533.3333333333333","true"
"2","260.3211878308971","186.0795372460546","4.819177409564883","-0.3112951524093254","0.15771484375","0.064453125","0.2509765625","1216","1","0","1","1","","","true"
"3","331.2731014322725","454.94520751865343","4.747179269750068","-0.3111534699659636","0.02490234375","0.02392578125","0.02587890625","1216","0.00017685665247986577","0","0.00017685665247986577","0.00017685665247986577","3_2:0.0044937579021130936","3_2:533.3333333333333","true"
"4","358.93952211465336","393.2257554910132","4.787865117661808","-0.31094540176555985","0.03662109375","0.0048828125","0.068359375","1216","0.00016149474575613158","0","0.00016149474575613158","0.00016149474575613158","4_15:0.008243164569000871;4_3:0.004169636958504974","4_15:533.3333333333333;4_3:533.3333333333333","true"
"5","113.88133067137412","308.37993374696117","4.8508398249677755","-0.31056606217183785","0.109619140625","0.20556640625","0.013671875","1216","1","0","1","1","5_4:0.0031722152507482893","5_4:533.3333333333333","true"
"6","237.40349651795418","129.78661537416892","4.899520781296139","-0.3090557835234433","0.107177734375","0.03662109375","0.177734375","1216","0.0003294099104723003","0","0.0003294099104723003","0.0003294099104723003","6_5:0.0031459971942379705","6_5:533.3333333333333","true"
"7","277.71574607842945","62.61095306795752","4.7559513736993795","-0.31100390518358323","0.13037109375","0.0205078125","0.240234375","1216","1","0","1","1","7_6:0.005665440141629535;7_8:0.006028508305568808","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","370.5851729469065","435.89770688017495","4.8125781155418075","-0.31334511346081884","0.017578125","0.017578125","0.017578125","1216","0.00012628326328157464","0","0.00012628326328157464","0.00012628326328157464","8_9:0.015944368476498966","8_9:533.3333333333333","true"
"9","291.84655218305363","66.73354394187476","4.637637005792022","-0.29264088813258476","0.130859375","0.1103515625","0.1513671875","1216","0.00801363017451117","0","0.00801363017451117","0.00801363017451117","","","true"
"10","241.57250557881437","195.973665744792","4.804404477337837","-0.31122742580861","0.010009765625","0.01318359375","0.0068359375","1216","0.00034834511663420773","0","0.00034834511663420773","0.00034834511663420773","10_9:0.016254986630608814;10_11:0.007344729783490905","10_9:533.3333333333333;10_11:533.3333333333333","true"
"11","379.82520472732216","93.02304528196228","4.743311045639347","-0.31179417408967897","0.010009765625","0.01025390625","0.009765625","1216","0.00011854183795512373","0","0.00011854183795512373","0.00011854183795512373","11_12:0.004195233125512482","11_12:533.3333333333333","true"
